rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
186,"spotify:track:5jsDh2866hUFi7Dhks4Dvn","Ryan Castro, elkno, Blessd","Comerte a Besos - Remix","AWOO Corp./Sony Music Latin",48,195,40,"317060"
187,"spotify:track:4eDjNcAyIuJFhQ31Fvvoc1","J Alvarez, Ñejo & Dalmata","Sexo, Sudor y Calor","On Top of the World Music",83,185,204,"316853"
188,"spotify:track:3YrTrs2hJbLklaBdhr4TrH","ROA, De La Rose, Luar La L, Yan Block, Omar Courtz","ETA - RMX","UMLE - Latino",55,197,38,"316560"
189,"spotify:track:4oB8Xd7gMlUEtWoD8bmCXW","Neton Vega, Peso Pluma","Morena","Josa Records",163,170,11,"316457"
190,"spotify:track:2JPctdUgvkQSpnUdfROxvY","Alemán, Neton Vega","Te Quería Ver","HOMEGROWN MAFIA S.A. DE C.V./Sony Music México-Latin",21,148,27,"315245"
191,"spotify:track:7so0lgd0zP2Sbgs2d7a1SZ","Lady Gaga, Bruno Mars","Die With A Smile","Interscope Records",28,-1,52,"314918"
192,"spotify:track:5HCk7iruzhQ1FbxyS3igmM","La Combinación Vallenata, Jean Carlos Centeno","Ayer Y Hoy","Codiscos",192,-1,2,"314673"
193,"spotify:track:1dAQ93kw8Sy9n4JCz2G9Nf","Alexis y Fido, Arcángel, De La Ghetto","Camuflaje (Remix)","Wild Dogz Music",165,173,3,"314216"
194,"spotify:track:0Y9c9SRQgswjlt4BzCsJv4","Santiago Cruz","Y Si Te Quedas, ¿Qué?","Santiago Cruz",82,150,49,"313541"
195,"spotify:track:5HCGrYR7g9u2X9Ju83yQLm","Adolescent's Orquesta","Virgen","Korta Records",69,188,142,"312516"
196,"spotify:track:0T2pB7P1VdXPhLdQZ488uH","Feid","Normal","UMLE - Latino",1,-1,165,"312391"
197,"spotify:track:1iQ3p8rAXU7LU52QarCzlO","ROA, CDobleta","TATE QUIETA","UMLE - Latino",79,-1,21,"311736"
198,"spotify:track:1iEwyiSLAunPR6uouANE0O","Maluma","El Perdedor","Sony Music Latin",75,161,39,"310463"
199,"spotify:track:2cRtuTadVm0JzoW4NNTIqI","Plan B","Candy","Pina Records",101,-1,145,"309649"
200,"spotify:track:3QwBODjSEzelZyVjxPOHdq","Zion & Lennox, J Balvin","Otra Vez (feat. J Balvin)","WEA Latina",1,159,275,"307485"
