rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
43,"spotify:track:2Kx9AfJPaJib9DwAdDYdB9","Ryan Castro, Blaiz Fayah, Tribal Kush","BOMBASTIK<3","AWOO Corp./Sony Music Latin",20,46,15,"664411"
44,"spotify:track:3YSkiK0JAaWvZVh0rFa3ja","Ryan Castro","Ojalá","AWOO Corp./Sony Music Latin",19,56,18,"657118"
45,"spotify:track:1B1maIpcMpPDZ8GT0WHT0V","KAROL G","Milagros","Bichota/Interscope Records",5,44,18,"646573"
46,"spotify:track:3KZCP2StVGdWkOKyRZNWA4","Plan B","Es un Secreto","Pina Records",18,48,241,"646158"
47,"spotify:track:3qwEwtnOb6TyJkSGYEm02h","Greeicy","Quiero +","Universal Music Latino",43,43,3,"644959"
48,"spotify:track:3hpm0fTeSqlhJbnqAgaLZs","Fuerza Regida","Marlboro Rojo","Rancho Humilde/Street Mob Records/Sony Music Latin",48,57,8,"638154"
49,"spotify:track:4DnrAI8WyUY6gkOwl8GlPN","Alleh, Yorghaki","capaz (merengueton)","CONMUER LLC",17,47,40,"636718"
50,"spotify:track:4XGFya44QyFTbB1pBT1TLi","Anuel AA, Blessd, Ovy On The Drums","Portate Bonito","Real Hasta La Muerte, LLC",24,27,3,"632098"
51,"spotify:track:3CHcEAW2hG6rlT2W1LlOtQ","Kris R., Prodmonja","ELECTROLIBONBON","WEA Latina",17,45,6,"625907"
52,"spotify:track:1JXcB149QtbcIpDUA6YZOB","Grupo Niche","Algo Que Se Quede","Grupo Niche",30,42,210,"602392"
53,"spotify:track:1YYfyJ2yCvGFCxwjsIqEK9","Rauw Alejandro, Romeo Santos","Khé?","Sony Music Latin/Duars Entertainment",7,63,43,"594217"
54,"spotify:track:281YJmnThveWjsWVic9Ym6","Kris R., Blessd","Las Piponas (Remix)","La K Company SAS",3,52,50,"589561"
55,"spotify:track:4feh4Ak3ZJfC6ibxkNzlkE","Boza, ELENA ROSE","orióN","Sony Music Latin",6,76,65,"574415"
56,"spotify:track:5DdLSEyKh8zgCrJq2hFj92","Yan Block, TORRRES","Yo sé","SONAR LLC.",42,53,36,"568771"
57,"spotify:track:2btNsI4OvcVl7SAHQQDHFB","Blessd, Ovy On The Drums","Mírame","WEA Latina",1,64,73,"565734"
58,"spotify:track:0fea68AdmYNygeTGI4RC18","J Balvin, Bad Bunny","LA CANCIÓN","Universal Music Latino / Rimas",2,55,324,"562577"
59,"spotify:track:0xv6hhmkF4XLzG87mNA1ia","Grupo Niche","Sin Sentimiento","Codiscos",50,50,163,"561699"
60,"spotify:track:1pLCpA1RN8avJxSD3ZCwhj","Arcángel","Pa' Que La Pases Bien","Cinq Recordings",23,51,140,"547838"
61,"spotify:track:1i1n7hUzCDkXGFqIJSSzom","Beéle","frente al mar","5020 Records",13,78,50,"537064"
62,"spotify:track:0l0vcZMU7AOeQmUIREoI2U","Rauw Alejandro, Bad Bunny","Qué Pasaría...","Sony Music Latin/Duars Entertainment",11,83,43,"535275"
63,"spotify:track:4N1dogCaVWnGyFdPjdqNWF","Clave Especial, Fuerza Regida","COMO CAPO","WEA Latina",63,139,3,"533262"
64,"spotify:track:3CbiuLMBPM6uV4a7HvkOib","Tony Dize, Plan B","Solos","Pina Records",29,74,152,"531700"
65,"spotify:track:6C1RD7YQVvt3YQj0CmuTeu","Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz","Diles","Rimas Entertainment LLC",39,58,275,"530949"
66,"spotify:track:0JoHqmlqE0W0i9prt6kcHR","Maluma, Trap Capos, Noriel, Bryant Myers, Juhn","Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)","Sony Music Latin",16,60,108,"529520"
67,"spotify:track:27xkOIER6uDLKALIelHylZ","Jin","Don’t Say You Love Me","BIGHIT MUSIC",30,113,16,"520986"
68,"spotify:track:7d6yK8v8J484SWH5prIQiE","Bad Bunny, Omar Courtz, Dei V","VeLDÁ","Rimas Entertainment LLC.",5,66,36,"516994"
69,"spotify:track:5yXt80BNZGbmHFd0NHZHNn","Grupo Firme","El Beneficio De La Duda","Music VIP Entertainment Presenta Grupo Firme",56,73,29,"512360"
70,"spotify:track:2mdrVnxEnPR6iFijakkxQS","Young Cister, Kreamly","QLOO*","Sony Music Entertainment Chile S.A",70,80,4,"511016"
71,"spotify:track:0sOrHE0vkEhrmWZnhqjP36","Blessd, Hades66, Blackinny, Young Fatty","MAS QUE AMIGOS","WEA Latina",49,62,15,"510330"
72,"spotify:track:73scB4Q4fcOmnsBVZPmk32","KAROL G","Si Antes Te Hubiera Conocido","Bichota/Interscope Records",1,67,64,"508673"
73,"spotify:track:2BvPMS2XWfnCpHHvWeOyeC","Mora","DETRÁS DE TU ALMA","Rimas Entertainment LLC.",35,61,17,"496915"
74,"spotify:track:6v5qt5KPQHJt5ckWuhDGtM","Victor Valverde, JR Torres","El Mayor De Los Ranas","Vim Music",47,68,27,"494003"
75,"spotify:track:4rGmeh80y2lNfaVOrWHNEy","Blessd, Brytiago, Dei V, Noriel","BALCONCITO","WEA Latina",21,69,15,"476664"
76,"spotify:track:2gmd7lY3QSzLh0xIY4cRvi","Maisak, Feid","SE ME OLVIDA","Universal Music Latino",3,88,55,"475619"
77,"spotify:track:3sK8wGT43QFpWrvNQsrQya","Bad Bunny","DtMF","Rimas Entertainment LLC.",1,71,36,"473286"
78,"spotify:track:3GhmL9fuM8jwGcHCFbeo3v","Arcángel","Me Prefieres A Mi","Vida Music",42,65,94,"473166"
79,"spotify:track:6DUdDIRgLqCGq1DwkNWQTN","Maluma","Borro Cassette","Sony Music Latin",23,70,144,"468792"
80,"spotify:track:0a6ogDrZBvYgDjILgsQVaJ","Arcángel","Hace Mucho Tiempo","Pina Records",59,93,97,"468089"
81,"spotify:track:0fOjPUdkQjLH0aoGa5p5h4","Bryant Myers, Anonimus, Anuel AA, Almighty","Esclava - Remix","La Comission, LLC",81,82,44,"459721"
82,"spotify:track:2ALQyXMC26Vew7JX7ert9M","Blessd, Kris R.","POLOS OPUESTOS REMIX - BLESSD VERSION","WEA Latina",3,79,49,"449653"
83,"spotify:track:0O3U5iwTbiXCREMkvotJuN","Grupo Frontera, Grupo Firme","EL AMOR DE SU VIDA","Grupo Frontera",28,86,69,"448556"
84,"spotify:track:3NgDulHteTVdF026IxY5bW","Don Omar, Kendo Kapponi","RX","UMLE - Machete",59,99,76,"446669"
85,"spotify:track:5hWpXZOs7vpz0JD3CIylsb","ROA","FANTASÍA","Universal Music Latino",85,91,19,"444031"
86,"spotify:track:56bPsRfOKla3bGGmVz1uk4","Los Dareyes De La Sierra","Frecuencia","Double P Records",81,81,5,"442256"
87,"spotify:track:2J9B63FawlTaPdg4eH5X03","Beéle","Loco","Hear This Music",3,72,179,"439988"
88,"spotify:track:7iQXYTyuG13aoeHxGG28Nh","Bad Bunny, Feid","PERRO NEGRO","Rimas Entertainment LLC",1,110,100,"428447"
89,"spotify:track:6J5kc12BW5HuP3d7C3vvx8","Bad Bunny","EoO","Rimas Entertainment LLC.",7,92,36,"426842"
90,"spotify:track:5U3sC7aA5NxoMSeI1kmO2n","Blessd, Los Money Makers, Prodmonja","NUEVA YORK","WEA Latina",42,84,15,"424966"
91,"spotify:track:1QOdcBUzfhDM1twaQRNIko","Kris R., Prodmonja","Chococono","La K Company SAS",44,89,43,"423627"
92,"spotify:track:53wSngFr6eC0yazPNJQmtg","Nanpa Básico, DFZM","En Tu Boca El Humo Me Sabe Mejor","5020 Records",92,180,2,"422886"
