ID,ISEMESTRE2025,2120500202,21202250,21202230,2120500201,21202180,21206810,21202190,21202220,21201580,21201980,21201200,21202240,21206900,21206890,21206780,21208480,2120000108,2120000119,2120000117,2120000104,2120000103,2120000105,2120000107,2120000106,2120700038,2120700154,2120700037,2120000142,2120000099,2120000109,2120000100,2120000123,2120000124,2120000101,2120000120,2120000125,2120000122,2120000118,2120000130,2120000126,2120000129,2120000128,2120000131,2120000132,2120000134,2120000133,2120000136,2120000137,2120000135,2120000138,2120000139,2120000140,2120000127,2120000169,2120000170,2120000171,2120000172,2120000173,2120000174,2120000175,2120000121,Por asignar,2120700156,2120700157,2120700211,2120700158,2120500203,Por Asignar,Por Asignar,Por Asignar,Por Asignar
1,FECHALECTURA,Col Sierra Morena,Doña Juana,UAN Usme,Vitelma,Quiba,San Benito–río Tunjuelo,Juan Rey,Paraíso,Pasquilla,Guadalupe,La Unión,UAN Circunvalar,La Esperanza,Cerro Cazadores,Independencia–río Tunjuelo,Kennedy–río Tunjuelo,FOPAE–IDIGER,Col Alemania Unificada,Col Moralba Suroriental,COLMAC,Cerro Norte,El Codito,La Fiscala,Gran Bretaña,San Francisco–qda Limas,Molinos–qda Chiguaza,Casas Fiscales Artillería,Col Carlos Pizarro,Col 21 Ángeles,Col Rodolfo Llinás,Col Francisco Primero S.S.,Col La Chucua,Col Rafael Uribe Uribe,Altos de la Estancia,Col Gustavo Morales Morales,Col Sorrento,INEM Fco de Paula Santander,Col Alberto Lleras Camargo,Col Paulo Freire,Col Ciudad de Villavicencio,Col Ofelia Uribe,Col Gabriel Garcia Márquez,Col Antonio García,Col El Tesoro de la Cumbre,Col Los Alpes,Col El Manantial,Col Los Pinos,Col Friedrich Naumann,Col Manuel Elkin Patarroyo,Col Nueva Zelandia,Esc Pedagógica Experimental,Fund Ana Restrepo del Corral,Col Eduardo Umaña,Col La Belleza,Col Simón Rodríguez,Col Agustín Fernández,Col Unión Colombia,Col Carlo Federici,Col Magdalena Ortega Nariño,Col La Felicidad,Col Gustavo Restrepo,La Viga,Chicú–río Bogotá,La Ramada–río Bogotá,Cra 56B–canal río Salitre,El Tabaco–río Bogotá,Gravilleras–río Tunjuelo,Nazareth,Escuela Col Ingeniería,Palomar Príncipe IDPC,San Juan Sumapaz
40,08/08/2025,"10,9","8,9","8,2","10,6","17,1","11,2","9,2","20,8",11,"21,7","11,9","25,8","7,5","15,8","11,3","12,2","6,4","4,6","5,7",16,"24,2","20,2","7,2","21,5","10,2","4,6","5,2","6,8","10,9","12,5","23,3","12,3","10,6","10,7","11,4","20,8","8,5","11,4","6,5","10,5","8,5","11,9","5,3","10,7","5,5","11,9","13,3","21,7",18,"12,7","17,8","23,2","7,5","6,4",30,"21,5","7,5","7,9","12,3","8,7","4,9","5,2",12,"14,5","19,5","15,6","7,5","8,6","17,9",,
41,09/08/2025,"4,3","2,3","3,2","5,6","2,1","2,4","1,9","18,6","5,7","6,6","2,8","22,5",7,"4,8","7,3","5,5","4,1",3,"3,6","7,1","4,2","5,1","2,1","4,1",2,"2,2","2,1","6,6","7,6","8,6","8,3","4,5",3,9,"8,3","4,4","5,2","9,2","1,6","2,6","2,3","2,5","1,1",1,"2,9","4,5","7,4","2,2","18,1","21,3","5,9",6,"1,7","2,3","24,6","3,5","3,7","12,4","4,6","6,4","3,3","3,4","10,9","8,3","6,7",6,"1,5","12,1","16,6",,
42,10/08/2025,0,"0,4","0,7","0,3","0,1",0,"0,7","0,2",2,"0,2","3,4","0,2","2,7","0,2","0,1",0,"0,1","0,2","0,3","0,1","0,3","0,3","0,2","0,4",0,"0,2","0,1",0,"0,1","0,1","0,2",0,0,"0,1","0,2",0,0,"0,2","0,1","0,5","0,5","0,7",0,0,"0,4","0,3","0,1","0,2","0,1","0,1","0,3","0,3","0,5","0,3","0,2","0,2","0,1","0,1","0,2",0,"0,1","0,4","0,1","0,1","0,1","0,2","0,1","11,4","0,1",,
43,11/08/2025,0,"1,2",3,"0,9",0,0,"7,4","0,5","3,5","0,8","1,8","0,2","8,7","0,9",0,0,"0,1","0,3","4,3","2,3","0,7","0,8","1,1","0,8",0,0,0,0,"0,3",0,0,0,0,0,0,0,0,"0,4","0,9",7,"5,7","6,1",0,0,"1,8",1,0,"0,4","0,1","0,3","0,9","0,5","4,1","3,8","0,2","0,2","0,3",0,0,0,0,"2,3","0,7",0,0,0,"0,5","8,4","0,2",,
44,12/08/2025,"0,1",0,0,"0,4",0,"0,3","0,5",0,0,"0,2","0,1",0,"0,6",0,"0,1",0,0,"0,1","0,4","0,1",0,"0,1","0,1",0,"0,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,6","0,8",0,0,"0,3","0,8",0,0,0,"0,1",0,0,"0,1",0,0,0,0,0,0,0,"0,1","0,5",0,0,0,0,"0,1",0,"0,1",,
45,13/08/2025,"0,5",0,0,"0,8","0,9","0,9","0,1",1,"0,6","0,7","1,6","0,5","2,9","3,2","0,1",0,"0,2","0,5","0,4","0,5","2,3","1,2","0,1","0,4","0,7","0,3","0,3",1,"0,7","0,4",1,"0,1","0,3",0,"0,3","0,3","0,7","0,5","0,1","0,2",0,"0,3","0,2","0,6","0,7","0,8","0,2","1,3","0,6","0,4","3,6","2,7",0,0,"0,5","1,8","0,8",0,"1,4",0,"0,3","1,4","0,4",0,"0,4","0,7",0,"1,1","0,4",,
46,14/08/2025,0,"0,6","0,9",0,0,0,"0,3",0,"0,5",0,"1,7",0,"2,5",0,0,0,"0,1",0,0,0,0,0,0,"0,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,4",0,"0,2",0,0,0,0,0,0,0,0,0,0,"0,3",0,0,0,0,0,0,0,0,2,0,"1,3",0,0,0,"3,1","0,1",,
47,15/08/2025,"0,1","0,7","0,4","1,1","0,4","0,2","1,2","0,2","0,4","1,3",1,0,"4,9","0,2","0,3","0,5",0,"0,9","1,5",0,0,0,"0,7","0,7","0,1","0,5","0,4","0,1",0,0,"0,2","0,3","0,2","0,3",0,"0,4","0,3",0,"0,9","1,3","0,3","0,9","0,3","0,3","0,7","0,7","0,5",0,"0,5",0,"0,1",0,"0,4","0,3",0,0,0,"0,2","0,1","0,4","0,9","1,6",0,0,"0,3",0,"0,7","4,9",0,,
48,16/08/2025,0,0,0,0,0,0,0,0,0,"0,2",0,"0,3",0,0,"0,1","0,3","1,7",0,0,"1,6","1,1","1,5",0,0,0,0,0,"0,2","2,4","7,2","2,5","0,3","0,3",0,"3,7","4,7","1,7","10,3",0,0,0,0,0,0,0,0,0,"1,7","0,1","1,3",0,"0,3",0,0,"0,1","0,5","1,2","0,4","0,7","1,2",0,0,"8,4","0,4","0,1",0,0,0,"1,1",,
49,17/08/2025,"0,1",0,"0,4",0,0,0,0,"0,4","0,9",0,"0,3","0,1","2,1","0,3","1,3","1,4","1,3",0,0,"0,7","4,4","1,2",0,0,0,0,0,"2,1","0,2","9,6","0,1","0,1",0,0,"1,5",0,0,4,0,"0,4",0,0,0,0,0,0,0,"1,5","0,1","0,9","0,4","1,8",0,0,"0,3","2,8","0,9","9,5","0,2","0,2",0,"0,2","10,4","15,2",0,"0,4",0,"0,1","0,2",,
50,18/08/2025,"0,6","0,6","0,8","0,9","0,6",1,"3,1",2,"2,4","1,4","0,6","1,4","2,7","1,4","0,5","0,6","0,8","1,1","1,7","0,3","0,5","0,2","1,7","0,9","1,1","1,4","1,4","0,6","0,1","0,2","1,3","0,7",1,"0,7","0,1","6,7","1,8","0,1","1,1",2,"2,2","3,1","0,7","0,7","1,2","1,9","0,5","0,2","1,8",0,"0,3","0,6","1,1","2,2","1,2","0,3","0,1",1,"0,5","1,5","0,9","0,8","0,1","0,4","0,5","0,4","1,1","4,6","0,4",,
51,19/08/2025,"0,1","0,1",0,0,"0,1",0,"0,6","0,1",0,0,"0,3",0,"0,4","0,7","0,2",0,1,0,"0,2","3,4","0,1",1,"0,1","0,3",0,0,0,"0,5","0,4","0,3","0,2",0,0,"0,1",0,0,0,"0,5","0,1","0,3","0,1","0,4","0,2","0,1","0,1","0,1",0,"0,1",0,"0,6","0,9","0,1","0,1","0,3","0,2",0,"0,2","2,7","0,1","1,3",0,"0,3","0,4","3,3","0,2","0,1","0,1","2,8","0,7",,
52,20/08/2025,0,0,0,0,0,0,0,0,0,0,0,0,"0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
53,21/08/2025,"0,5","1,1","1,1","0,1","1,6","1,4","1,3","0,1",3,"0,8",5,0,"6,6",0,"0,2","0,4",0,"0,2","0,5",0,0,"0,1","0,6","4,2",1,"0,3","1,6",0,0,0,0,"0,4","0,7","0,9",0,0,0,0,"0,5","2,3","0,9","1,5","1,6","2,2","0,1","0,1","0,8",0,0,0,0,0,"1,2","0,6",0,0,0,"0,6",0,"0,5","0,2","1,3",0,"0,5",0,0,"0,7","3,3",0,,
54,22/08/2025,0,0,0,0,0,0,0,0,0,0,0,0,"0,2",0,0,0,"1,5",0,0,"0,1",0,0,0,0,0,0,0,0,"0,3","28,2",0,0,0,0,"0,2","0,9","0,2","2,3",0,0,"0,2","0,2","0,1",0,0,0,0,0,"0,7",0,0,0,0,0,0,0,0,"1,5","1,6","0,8",0,"0,1",8,7,"0,4",0,0,0,0,,
55,23/08/2025,1,"2,4","3,7",2,3,"1,8","3,7","0,3","3,1","1,7","1,3","0,3","4,7","4,6","1,1",1,"0,5","2,1",4,"2,1","0,3","0,6","5,4","1,9","2,4","2,4","2,4",1,"0,3","0,1","0,5",1,"1,2",1,"0,3","0,3","0,7","0,1","3,1","3,9",1,"1,4","3,4","1,7","2,8","2,7","1,6","0,4","0,3","0,9","5,7","0,5","3,3","4,5","0,7","0,1","0,5","1,4","0,6","1,3",2,"1,1","0,1","2,1","0,8","0,1","2,4","3,7","0,1",,
56,24/08/2025,"8,7","7,8","7,3",8,"7,8","6,1","10,6","8,5","7,9","6,2","15,3","8,2","13,3","4,6","11,2","10,1","3,4","7,8","10,4","3,3","3,2","2,7",9,12,"7,3","7,1","6,8",7,2,"2,4","5,9","7,6","5,9","9,3","2,1","6,1","7,8","2,5","8,9","10,8","10,8","10,8","6,5","7,8","9,3","9,3","5,8","2,9","7,5","2,4","4,2","2,9","9,4","8,5","7,4","2,5","2,6","5,7","2,4","5,6","5,8","4,6","2,8","4,1","3,1",7,8,"14,3","2,2",,
57,25/08/2025,0,"0,1","0,4","1,6",0,"0,1",3,"0,3","1,9","0,4","0,4","0,1","1,6","0,7",0,0,"0,4","0,5","4,5","0,3","0,4","0,5","0,4",0,0,0,0,0,"0,1",0,0,0,0,0,0,0,"0,1",0,"0,1","1,8","0,5","0,9",0,0,"1,9","1,6",0,"0,3","0,1","0,2","0,6","0,4","1,4","2,3","0,1",0,"0,1",0,"0,1",0,0,"1,7",0,"0,4","0,2",0,0,"0,6","0,2",,
58,26/08/2025,0,"3,1",5,"2,4","0,4",0,"13,6","0,4",3,"2,3","2,3","0,1","10,6","0,7",0,0,0,"1,3","8,3","0,6",0,0,"2,5","2,3",0,"0,7",0,0,0,"0,1",0,0,"0,1",0,"0,3",0,0,"0,7","2,2",15,"8,1","11,4","0,2","0,2","3,9","3,8","0,2",0,0,0,1,"0,2","9,9","8,6","0,2",0,0,0,0,0,0,"3,9","0,2","0,1",0,0,"1,4","12,5",0,,
59,27/08/2025,0,"0,7","1,2","11,1","0,2","0,7","10,8",1,"1,7","9,7","1,4","0,5","7,1","2,1",0,0,0,7,"15,9","0,1","0,9","0,2","4,5","2,3",0,"2,3","1,3",0,0,"0,1",0,"0,3","0,9",0,0,0,0,0,"1,4","3,6","1,5",4,0,0,"8,4","5,9","2,5","0,2","0,5",0,"2,2","0,7",3,"7,4","0,4","0,1","0,1",0,"0,1",0,"1,4","5,3",0,0,0,0,"0,2","1,7",0,,
60,28/08/2025,0,"1,1","0,5","0,6","0,2","0,2","1,5","0,2","0,8","2,4","3,9",0,"3,1","0,6",0,0,0,"0,1","0,6",0,"0,3",0,"0,5","1,5","0,1","0,2","0,1",0,0,"0,2",0,"0,1",0,0,"0,3","0,1",0,0,"0,6","1,4","0,6","1,2",0,0,"0,2","0,5","1,2","0,1","0,1",0,"1,3","0,8","0,7","1,2","0,1",0,0,0,0,0,"0,1","2,6",0,0,0,0,"0,2",8,0,,
61,29/08/2025,"4,2",2,"1,7",4,"3,4","3,9","2,6","5,6","1,6","4,2","2,3","5,3","5,7","3,3","3,6","4,4","1,4","3,7","3,5","2,7","3,2","3,1","2,8","2,3","3,7","3,7","4,4","1,9","1,5","1,8","2,7","4,5","5,9","5,1","1,6","4,7","4,1","1,6","2,1","3,4","2,3","3,8",3,"2,8",3,"4,1","3,5","3,1","4,9",2,"2,5",2,"1,9","2,9","5,1","2,3","2,6","2,7","1,4","2,6",4,"4,3","1,5","2,2","1,3","1,8",2,"2,9","1,7",,
62,30/08/2025,"1,9","3,9","4,2","5,1","2,6","2,8","5,2","4,3","4,4","4,6","4,2","3,7","8,6","3,8","2,1","2,2","3,2","4,4","5,5",4,"3,9","4,2",4,"3,6",3,"3,8","3,2",2,"2,7","2,7","3,9","3,2","3,4","2,4","3,2","4,6","3,6","2,7","4,1","5,6","4,1","5,5",2,"2,4","4,5","5,5","3,3","2,8","4,2","3,2","4,7","4,3","4,7","4,4","3,2",3,"3,1","5,5","2,8","11,7","4,2","5,8","2,2","5,4","3,8","2,8","3,3","6,8","3,5",,
63,31/08/2025,"0,1","0,2","0,1","1,1","0,1","0,2","0,1","0,7","1,6",1,3,"0,3",2,"3,5","0,2","0,2","0,3","0,1","0,2","0,5","0,3","0,9","0,1","0,3","0,1","0,1","0,1","1,2","0,1","0,1","0,1","0,1","0,1","0,2",0,"0,2","0,3","0,1","0,1","0,8",1,"0,3","0,1","0,1",0,"0,1","0,2","1,3","0,5","0,3","3,9",0,"0,4","0,1","0,4","0,1","0,5","0,2",0,0,"0,2","0,9","0,2","0,4","0,1","0,3","0,2","1,6","0,4",,
64,01/09/2025,"0,6","0,4","0,7","0,8",2,"1,9","1,1","1,3",1,"1,3",1,"0,5","4,8","0,6","0,7","1,2","0,6","0,5","0,7","2,4","1,8","2,2","0,4","2,7","1,5","0,6","1,3","0,5","1,2","1,5","0,4","1,7","2,8","1,8","0,2","1,2","1,4","1,6","0,8","1,8","0,5","0,8","1,4","1,2","0,3","0,6",0,"0,8",1,1,"0,8","0,9","0,9","0,3","0,7","1,1","0,8","0,2","0,6","0,7","1,3","2,9","0,7","0,6","0,2","1,3","1,1","1,6","0,9",,
65,02/09/2025,"0,1","0,6","0,7","1,5","0,2","0,3","3,8","2,2","1,8",3,"1,1","1,3",3,1,0,0,"0,1","0,6","3,1","1,6",0,"0,4","1,6","1,1","0,2","0,6","0,3",0,0,0,"0,4",0,"0,1","0,1",0,"0,4",0,0,"0,7","2,4","1,7","3,9","0,2","0,2","1,9","2,7","0,8",0,"1,5",0,"1,3","0,4","1,3","3,5","1,1",0,0,"0,4",0,"0,4","0,4","1,9",0,"0,1",0,0,"0,7","0,6","0,1",,
66,03/09/2025,1,"0,7","0,9",3,"0,3","0,6","3,4","3,2","2,2","1,8","1,6","1,6","3,4","3,3",0,"0,1","0,5","0,5",2,"0,2","1,7","0,1","0,4","0,8","0,9","0,2","0,2",0,0,0,"0,3","0,5","1,2","1,1","0,3",0,0,0,"0,4","3,4","3,7","4,9",0,"0,1","0,8","1,4","0,4","0,3","1,2",0,"1,3","3,9","2,5","1,5","1,6","0,9",0,"0,3","0,5","0,1","1,1","3,2",0,"1,3","0,7","0,1","0,1","7,7",0,,
67,04/09/2025,"11,2","14,3","13,4","11,7","14,2","10,7","22,1","11,5","14,4","13,1","11,3","9,2","25,2","12,6","8,8","9,7",5,12,"19,7","10,5","7,3","5,9","14,8","18,7","12,1","11,5","14,4","6,5","4,8","5,2","5,3","10,9","11,8","12,7","3,7","8,4","8,9","2,9","14,1","24,6","17,6","22,1","12,2","11,9","14,4","12,8","8,5","4,8","9,5","2,8","12,2","5,4","17,8",19,"7,9","4,7","3,3","6,3","5,2","6,2","9,3",13,"3,3","4,5","5,5","6,6","14,3","16,6","2,7",,
68,05/09/2025,0,"2,9","3,3",3,"0,7","0,4","7,3","1,1","3,8",4,"3,9","0,7","9,9","0,8","0,1","0,2","0,1","1,5","5,4","0,9","1,9","0,2","1,6","3,1","0,2","1,1","0,6",0,"0,5","0,1","0,1","0,4","0,6","0,1","0,1","0,5","0,4","0,4","1,5","5,9","3,5","5,6","0,4","0,5","2,9","2,6","2,3","0,1",1,"0,1",1,"0,5","3,3","4,8","0,8","0,8",0,"0,1",0,"0,1","0,7","3,5","0,4","0,6",0,0,"1,7","8,6","0,1",,
69,06/09/2025,0,0,0,0,0,0,"1,7","0,1","0,4",0,0,"0,1","0,9","0,2",0,0,0,"0,1","0,8","0,5","0,6","0,2","0,2",0,0,0,0,0,0,"0,1",0,0,0,0,0,0,0,0,"0,3",0,0,"0,4",0,0,"0,2",0,0,0,0,0,0,"0,1",0,"0,5","0,1","0,1",0,"0,1",0,0,0,"0,2",0,0,0,0,0,"0,1","1,4",,
70,07/09/2025,"0,9",1,"0,7","3,1","0,9","1,5","1,8",1,"0,4","1,6","1,5","0,7","2,6","0,9","0,6","1,7","4,4","1,7","1,9","1,6",2,"5,2","0,5","1,6","1,1",1,"1,2","0,1","0,6","2,8","0,4","1,5","2,1","1,4","0,3","1,6","0,5","0,2","0,9","1,4","0,7","1,3","0,5","0,6","1,6","2,9","1,4",2,"0,4",3,"1,3","1,1",1,"1,3","0,5","0,9","3,1","1,5","1,4","0,2","1,4","3,4","2,1","3,1","1,6","0,4","0,9","10,4","3,1",,
71,08/09/2025,0,0,0,"0,1",0,0,0,0,0,0,0,0,"0,4","0,1",0,0,0,0,0,"0,3","0,4","0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,2","0,1",0,"0,1",0,0,"0,2",0,0,0,0,"0,2",0,0,0,0,0,"0,3",0,0,0,0,0,"0,4","0,1",,
72,09/09/2025,0,0,0,"0,2",0,0,"0,5",0,0,"0,5",0,0,"0,1","1,1",0,0,0,0,"0,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,1",0,0,"0,1","0,6",0,0,0,0,"0,6",0,0,"0,2",0,0,0,0,0,0,0,"0,6",0,0,0,0,0,"0,2",0,,
73,10/09/2025,0,0,0,0,0,0,"0,9","0,1","0,9",0,"0,8","0,1","0,9","0,1",0,0,0,0,"0,1","0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,1",0,"0,1",0,0,,0,0,0,0,0,"0,7",0,0,"0,1",0,0,0,0,0,0,0,"0,6",0,0,0,0,0,"2,3",0,,
74,11/09/2025,0,0,0,0,0,0,"0,1",0,"0,5",0,0,0,"0,8",0,0,0,0,0,"0,1","0,1","0,1","0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,"0,2","0,1",0,0,0,0,0,0,0,0,0,"0,3",0,0,0,0,0,"1,7",0,,
75,12/09/2025,"0,1","0,5","1,1","2,5","0,3","0,3","2,1","1,4",0,"1,9",0,"1,2","1,4","0,7","0,1","0,3","0,8","1,2","3,4","0,5","0,7","0,8","0,9","0,5","0,5","0,4","0,4",0,0,0,"0,6","0,5","0,5","0,2",0,1,"0,5","0,3","0,5",2,"1,1","1,5","0,3","0,2","1,8","2,9","1,6","0,4","1,2","0,1","0,5","0,2","1,2","1,5","1,1","1,2","0,3","0,1",0,"0,2","1,2","2,7","0,4",0,"0,2",0,"0,2","1,6","0,3",,
76,13/09/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,1",0,0,0,0,0,0,0,,
77,14/09/2025,"7,1","11,8","12,8",10,"9,5","8,8","16,1","6,2","12,4","9,5","15,1","5,2","20,4","4,3","5,8","6,1","2,3","9,9","12,9",0,"0,7","0,3","9,6",13,"8,4","9,4","12,3","4,3","0,6","0,8","3,8","6,8","7,4","8,7","1,4","5,7","5,9","0,8",10,20,"13,3","17,8","9,5","10,1","12,7","11,4","6,4","0,4","5,7","0,4","4,2",2,"15,2","12,6","4,8","0,7","0,2","3,4","1,9","3,9",9,"11,2","0,5","1,4","3,4","4,2","10,9","11,4",0,,
78,15/09/2025,"3,3","1,5","2,7","2,5","3,1","2,4","4,5","1,3","3,2","2,9","1,5","1,1","11,8","0,5","3,4","2,8","0,9",2,"4,3","1,7","1,9","0,2","1,4","3,9","3,1","1,6","3,2","2,3","0,3","0,5","0,9",3,"2,3","4,8","0,5","2,5","2,8","0,3","1,3","6,2","2,5","4,4","1,8","2,1","2,2","2,8","1,6","0,8","1,5","0,1","0,6","0,7","3,7","2,4","0,8","0,9","0,1","1,3","0,5","1,3","2,4","4,1","0,1","0,6","0,6",2,"1,5","3,2","0,2",,
79,16/09/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,1",0,0,0,0,0,"0,1",0,,
80,17/09/2025,0,"0,5",0,"0,4",0,0,"0,7",0,"2,6",0,"0,1",0,"1,8",0,0,0,0,"0,4","1,5",0,0,0,"1,6",0,0,"0,1",0,0,0,"0,1",0,0,0,0,"0,3","0,3","0,1",0,"0,3","1,5","0,1","0,6","0,1",0,"0,1","0,3",0,0,"0,1",0,0,0,"0,5","0,9",0,0,0,0,0,0,0,"2,4",0,0,0,0,"0,2",8,0,,
81,18/09/2025,"7,9","4,6","0,9","3,8","4,7","6,5","2,1","2,6","1,3","1,5","1,9","2,1",2,"3,4","5,7","4,7","2,3",2,"2,8","0,5","0,4","2,2","2,6","6,8","7,6","4,2","7,7","2,6","1,1",1,"4,8","8,1","5,8","10,4","0,5","5,7","3,9","5,8",3,"2,1","0,8",1,"4,2","3,7","1,9","3,8",1,"0,1","2,8","1,5",3,"0,5","0,8",2,"2,7","0,2","0,5","5,2","1,4","3,3","7,7","3,4","7,3","4,9","2,5","4,4","3,7","2,3","0,7",,
82,19/09/2025,"5,2","0,8","1,7","5,9",2,5,"3,5","1,3","2,1","1,7","2,1","1,1",5,"1,8","15,8","10,1","1,8","7,8","4,3","0,8","0,7","1,6","3,1","1,2","3,4",5,4,"8,7",20,"26,6","2,4","4,5","4,1","10,6","0,8","3,3","9,2","49,7","2,8","4,4","2,3","3,1","1,4","1,3","3,2","2,7","4,2","1,1","1,8","44,3","1,3","0,5","2,9",3,"0,9","0,5","0,8","2,5",16,"2,3","3,3","6,5","16,2","5,4",5,"2,5","2,2","7,8","7,2",,
83,20/09/2025,"2,4","2,8","3,4","1,8","2,5","1,3","2,4","1,6","4,5","1,6","7,1","1,6","6,2","2,6","2,3",2,1,"1,6","2,3","2,3","2,7","2,8","2,1",4,"1,3","1,7","1,6","2,7",2,"1,3","1,4","1,3","1,3","2,4","1,4","1,7","1,7","1,6","1,9","2,9","1,9",2,"1,1","1,6","1,4",2,"1,5",2,"1,5","2,3","2,8","3,1","2,7",2,"1,6","2,1","1,9","1,7","1,1",1,"1,6","1,7","1,6","2,8","1,4",2,"1,7","9,7",3,,
84,21/09/2025,"0,1","0,1",0,"0,7",0,"0,1","0,5",0,0,"0,9",0,"0,1",0,0,0,0,"0,7","0,6",1,0,0,0,"0,5","0,1","0,1","0,6","0,2",0,0,0,0,"0,1","0,4","0,1",0,0,0,0,"0,3",0,"0,4","0,1","0,1",0,"0,5","1,2","0,4",0,"0,2",0,0,0,"0,2","0,6","0,1",0,0,0,"0,2","0,1","0,3","1,2",0,0,"1,3",0,"0,2",0,0,,
85,22/09/2025,0,0,0,"0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,1",0,0,0,0,0,0,0,"0,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,1",1,0,0,0,0,0,0,0,0,0,0,"0,1",0,0,0,0,0,0,0,"0,1",0,0,"0,1",,
86,23/09/2025,0,"0,2",0,"1,1","0,5","0,4","1,3","1,4",2,"1,1","2,1","1,6","1,4","1,6","0,1","0,3",1,"0,6","1,1",0,"0,2","0,1",1,"0,4","0,3","0,5","0,5","0,1","0,2","0,4","0,9","0,7","0,4",0,"0,4","0,6","0,6",0,"0,7","0,8","0,3","0,8","0,5","0,3","0,4","0,8","1,1","0,1","0,9","0,1","1,5","0,1","0,2","1,7","1,1","0,1",0,"1,1","1,3","1,1","0,5","2,3",0,"0,2","0,5",0,"0,5","0,8",0,,
87,24/09/2025,0,"0,6","0,1","0,2","0,1",0,"1,4",0,"1,2","0,1","0,9",0,"1,1",0,"0,2","0,1",0,"0,4","0,6",0,0,0,"0,2","0,1",0,"0,3","0,2","0,1",0,0,0,"0,1","0,5","0,1",0,0,0,0,"0,1","1,2","0,7","1,5",0,0,"0,2","0,3",0,0,0,"0,1",0,"0,3","0,6","1,5",0,0,0,0,"0,2","0,1","0,2","0,7",0,0,0,"0,2","0,2",6,0,,
88,25/09/2025,0,0,0,"0,3","0,2","0,2",0,"0,1","0,2","0,2","0,2","0,2","2,5",0,0,0,0,"0,3",0,0,0,0,0,0,"0,1","0,1","0,2","0,1",0,0,"0,1","0,1","0,1",0,0,0,"0,2",0,0,"0,2",0,0,"0,2","0,1","0,3","0,2",0,0,0,0,0,0,"0,1",0,"0,1",0,0,"0,1",0,"0,1","0,4","0,3",0,"0,1",0,0,0,"0,1","0,2",,
89,26/09/2025,0,0,0,0,0,0,0,0,"0,2",0,0,0,"1,6","0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,3",0,,
90,27/09/2025,0,0,0,0,0,0,0,"0,4",0,0,0,"0,1","0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,3",0,"0,1",0,0,0,0,0,0,0,0,"0,3",0,0,0,0,0,"5,2",0,0,0,"0,7",0,,
91,28/09/2025,0,0,0,0,0,0,0,0,0,0,0,0,"0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
92,29/09/2025,"0,3","5,9","4,4",0,"1,8","0,1","7,5","0,1","3,8",0,"0,7","0,1","2,2","0,1","0,8",0,"0,1","0,6",2,"2,1","0,7","5,2","2,4","4,9","0,4","0,5","0,6","0,1",0,0,"0,1",0,0,"0,3",0,0,0,0,"4,2","8,3","6,8","8,1","1,6","2,1","0,8","0,1","0,1","0,6",0,"2,6","0,2","1,2","6,7",3,"0,1","0,9","2,2","0,1",0,0,0,"0,9",0,"0,6",0,0,"4,4","0,5","6,3",,
