ID,ISEMESTRE2025,2120500202,21202250,21202230,2120500201,21202180,21206810,21202190,21202220,21201580,21201980,21201200,21202240,21206900,21206890,21206780,21208480,2120000108,2120000119,2120000117,2120000104,2120000103,2120000105,2120000107,2120000106,2120700038,2120700154,2120700037,2120000142,2120000099,2120000109,2120000100,2120000123,2120000124,2120000101,2120000120,2120000125,2120000122,2120000118,2120000130,2120000126,2120000129,2120000128,2120000131,2120000132,2120000134,2120000133,2120000136,2120000137,2120000135,2120000138,2120000139,2120000140,2120000127,2120000169,2120000170,2120000171,2120000172,2120000173,2120000174,2120000175,2120000121,Por asignar,2120700156,2120700157,2120700211,2120700158,2120500203,Por Asignar,Por Asignar,Por Asignar,Por Asignar
1,FECHALECTURA,Col Sierra Morena,Doña Juana,UAN Usme,Vitelma,Quiba,San Benito–río Tunjuelo,Juan Rey,Paraíso,Pasquilla,Guadalupe,La Unión,UAN Circunvalar,La Esperanza,Cerro Cazadores,Independencia–río Tunjuelo,Kennedy–río Tunjuelo,FOPAE–IDIGER,Col Alemania Unificada,Col Moralba Suroriental,COLMAC,Cerro Norte,El Codito,La Fiscala,Gran Bretaña,San Francisco–qda Limas,Molinos–qda Chiguaza,Casas Fiscales Artillería,Col Carlos Pizarro,Col 21 Ángeles,Col Rodolfo Llinás,Col Francisco Primero S.S.,Col La Chucua,Col Rafael Uribe Uribe,Altos de la Estancia,Col Gustavo Morales Morales,Col Sorrento,INEM Fco de Paula Santander,Col Alberto Lleras Camargo,Col Paulo Freire,Col Ciudad de Villavicencio,Col Ofelia Uribe,Col Gabriel Garcia Márquez,Col Antonio García,Col El Tesoro de la Cumbre,Col Los Alpes,Col El Manantial,Col Los Pinos,Col Friedrich Naumann,Col Manuel Elkin Patarroyo,Col Nueva Zelandia,Esc Pedagógica Experimental,Fund Ana Restrepo del Corral,Col Eduardo Umaña,Col La Belleza,Col Simón Rodríguez,Col Agustín Fernández,Col Unión Colombia,Col Carlo Federici,Col Magdalena Ortega Nariño,Col La Felicidad,Col Gustavo Restrepo,La Viga,Chicú–río Bogotá,La Ramada–río Bogotá,Cra 56B–canal río Salitre,El Tabaco–río Bogotá,Gravilleras–río Tunjuelo,Nazareth,Escuela Col Ingeniería,Palomar Príncipe IDPC,San Juan Sumapaz
10,09/07/2025,"2,8","1,6","1,1","4,1","3,5",5,"11,4",5,"3,2","5,2","1,8","4,9",5,"5,2",3,"3,7",3,"3,3","9,2",,"3,6","3,1","3,6","3,3",5,3,"6,8","2,2","2,4","1,9","3,4","3,6","6,2","3,2","3,5","2,9","3,7","1,9","2,3","4,8","3,8",7,"3,8","2,6","4,8","5,8","4,2",3,"3,6","2,7","5,6","3,8","2,2","7,2","4,4",3,"1,9","2,7",4,"3,1","3,4","6,5","2,5",2,"3,4","2,7","2,4","9,1","2,3",,
11,10/07/2025,"9,9","8,3","8,9","20,2","8,2","9,2","18,1","17,5","16,6","16,8","12,2","13,7","16,7",9,"16,4","13,9","10,6","11,6",21,,"3,1","1,9","11,7","10,4","10,4","8,9","9,3","10,1","2,5","9,1","10,7","14,4","12,8","12,6","4,8","14,8","13,4",4,"10,1","11,9","11,3","13,1","6,5","8,6","14,9","22,4",12,"2,7","13,9","1,1","9,8","3,2","9,5","16,1","13,3","2,4","1,1","11,8","8,5","9,1","14,1","17,4",4,10,10,"11,3","9,1","10,1","0,7",,
12,11/07/2025,"7,5","9,1","10,6","9,6","11,3","7,3","26,1","7,8","15,8","11,7","9,4","6,6","32,5","5,4",5,"4,1","3,3","9,6",23,,7,"3,7","10,5",12,"8,3","8,7","8,3","3,5","3,7","3,3","5,5","4,4",5,"7,9","3,7","4,6",4,"3,9","9,8","25,8",17,"21,6","7,4","9,8","12,1","13,1","6,5","3,9","8,6","2,6","5,2",8,"13,3","17,8","6,1","5,7","1,9",5,"3,3","4,6","6,1","7,8","3,5","2,8","3,7","6,7","9,1",15,"2,5",,
13,12/07/2025,0,"0,2","0,9","2,7",0,0,"5,4","0,1","2,5","1,9","2,3",0,"4,3",1,0,0,0,"0,6","6,1",,"0,2","0,2","0,2","0,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,7",1,3,0,0,"2,5","3,7","0,5",0,0,0,"0,8","0,2","1,1","3,2",0,"0,1",0,0,0,0,"0,1","2,2",0,0,0,0,0,"5,8",0,,
14,13/07/2025,0,"0,1","0,3","4,6",0,0,"8,2","1,9","0,1","3,5","1,1","1,3","3,2","1,7",0,0,"0,1","0,9","7,4",,"0,6","0,8","1,2","0,1",0,"0,5","0,1",0,"0,6",0,"0,5","0,1","0,1",0,0,"0,1","0,1","0,1","0,9","5,6","1,6","4,4",0,0,"3,3","4,2",2,"0,2",1,"0,1",1,"0,6","2,6","4,8","1,2","0,2","0,1",0,0,"0,1","0,2","3,7","0,6",0,"0,2",0,"0,2","1,9","0,4",,
15,14/07/2025,0,"2,3","4,8","3,3","0,1","0,1","7,2",1,"7,5",3,"3,1","0,5","15,7","0,7",0,0,"0,2","0,4","2,8",,"1,8","1,6","1,4","3,4",0,0,"0,2",0,"0,4","0,5","0,1",0,0,0,"0,1",0,0,"0,4","0,7","11,1","4,7","6,9",0,0,"1,1","2,8","0,6","0,9","0,8","0,1","1,4","2,3",4,"3,1","0,3","0,9","0,1",0,0,0,"0,1",5,"0,3","0,2",0,0,"0,5","2,8",1,,
16,15/07/2025,0,"0,1","0,3","0,3",0,0,"0,4",0,0,"0,4","0,5",0,"1,5","0,2",0,0,0,"0,3","0,9",,0,0,0,"0,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,1","0,3","0,3","0,4",0,0,"0,8","0,4",0,0,0,0,"0,3",0,"0,1","0,4",0,0,0,0,0,0,0,"0,4",0,0,0,0,"0,1","0,3",0,,
17,16/07/2025,0,"0,1","0,9","1,1","0,3",0,"2,7","3,1","2,9","0,9","0,2","1,5",8,"0,5",0,0,0,"0,4",2,,"0,1","0,4","0,7","0,2",0,0,0,0,0,0,"0,3",0,0,0,0,0,0,0,"0,5","0,4","0,2","0,6","0,1",0,"1,5","1,8","0,1",0,"1,3","0,4","0,6","0,1","0,1","1,6","1,6",0,0,"0,1",0,"0,5",0,"0,8",0,0,0,0,"0,4","1,1","0,4",,
18,17/07/2025,"0,1","0,4","0,8","2,5",1,"0,7","3,1","0,1","1,5","1,4","3,3","0,5","1,3","4,3",0,"0,1","0,4","1,1","3,5",,"0,2","0,1",3,"2,3","0,9","1,1","1,2",0,0,0,"0,6","0,3","0,6","0,6",0,"0,2","0,1",0,"1,5","0,4","0,8","0,9","0,6","0,5","2,2",2,"1,8",0,0,0,"12,4","0,9","0,2","3,9","0,5","0,1",0,0,"0,4","0,2","1,2","3,3",0,1,"0,8",0,"1,5","6,9",0,,
19,18/07/2025,"2,4",3,"2,9","9,4","4,6","2,9","12,2","3,2",6,"8,5","6,5","2,2","7,6",5,1,"1,7","0,2","4,6","11,5",,"1,9","2,8","6,5","5,1","2,5","3,6","3,5","0,3","0,2","0,2","0,8","2,3","1,7","2,7","0,4","0,9","0,6",0,6,"5,8","5,6","6,9","2,3","2,5","8,7","10,5","5,6","1,9",3,"1,4","9,8",2,3,"10,8","2,7","1,1","1,3","0,4","0,4","0,2","3,1","4,8",0,"0,8","0,7","1,2","4,7","13,4","2,6",,
